journal,volume,journal_code,year,ISSN,editors,areas
Bull. dInformatique Approfondie et Appl.,100,Bu100,2015,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,101,Bu101,2015,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,102,Bu102,2015,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,103,Bu103,2016,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,104,Bu104,2016,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,105,Bu105,2016,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,91,Bu91,2012,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,92,Bu92,2012,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,93,Bu93,2012,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,94,Bu94,2013,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,95,Bu95,2013,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,96,Bu96,2013,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,97,Bu97,2014,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,98,Bu98,2014,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Bull. dInformatique Approfondie et Appl.,99,Bu99,2014,ISSN 1234-5678,Kimberly Iddings,"Data structures and algorithms|Software engineering|Artificial intelligence|Concurrent, parallel and distributed computing"
Expert Syst. Appl. X,1,Ex1,2019,ISSN 1234-5678,Rachael Moore,"Computer architecture and organization|Social computing and human–computer interaction|Theoretical computer science|Information and coding theory|Computer systems and computational processes|Computer networks|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Expert Syst. Appl. X,2,Ex2,2019,ISSN 1234-5678,Rachael Moore,"Computer architecture and organization|Social computing and human–computer interaction|Theoretical computer science|Information and coding theory|Computer systems and computational processes|Computer networks|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Expert Syst. Appl. X,3,Ex3,2019,ISSN 1234-5678,Rachael Moore,"Computer architecture and organization|Social computing and human–computer interaction|Theoretical computer science|Information and coding theory|Computer systems and computational processes|Computer networks|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Expert Syst. Appl. X,4,Ex4,2019,ISSN 1234-5678,Rachael Moore,"Computer architecture and organization|Social computing and human–computer interaction|Theoretical computer science|Information and coding theory|Computer systems and computational processes|Computer networks|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Expert Syst. Appl. X,5,Ex5,2020,ISSN 1234-5678,Rachael Moore,"Computer architecture and organization|Social computing and human–computer interaction|Theoretical computer science|Information and coding theory|Computer systems and computational processes|Computer networks|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Expert Syst. Appl. X,6,Ex6,2020,ISSN 1234-5678,Rachael Moore,"Computer architecture and organization|Social computing and human–computer interaction|Theoretical computer science|Information and coding theory|Computer systems and computational processes|Computer networks|Concurrent, parallel and distributed computing|Computer graphics and visualization"
Expert Syst. Appl. X,7,Ex7,2020,ISSN 1234-5678,Rachael Moore,"Computer architecture and organization|Social computing and human–computer interaction|Theoretical computer science|Information and coding theory|Computer systems and computational processes|Computer networks|Concurrent, parallel and distributed computing|Computer graphics and visualization"
