merge_id,atmosphere_id
36738828539415904,3
36738828539415904,5
130012085145017820,8
151315871423119200,26
190535589291764930,19
205151259143415680,24
205151259143415680,25
223214590542580030,23
223214590542580030,24
223214590542580030,6
251004691745355900,23
267507417379114900,30
267507417379114900,4
267507417379114900,6
267538369935421630,26
267538369935421630,8
324956671056273800,21
324956671056273800,23
324956671056273800,30
324956671056273800,4
328947052064006300,24
336462219155110600,21
336462219155110600,3
3.4510469770954963e+017,2
3.4510469770954963e+017,21
377171090460949760,21
377171090460949760,23
377171090460949760,24
377171090460949760,6
439850603726543800,12
476916960402019840,6
476916960402019840,8
488621394879506600,11
608490730760836400,23
608490730760836400,24
608490730760836400,6
657437461245799700,26
657437461245799700,6
686315430251262e3,2
686315430251262e3,6
728137613149311900,23
728137613149311900,6
752710541165137300,23
752710541165137300,6
809462122392499700,26
867418210620730200,6
868843285783124e3,24
868843285783124e3,6
883805560569739800,26
934955199864545e3,12
934955199864545e3,3
934955199864545e3,6
939792937791708200,24
939792937791708200,6
994507847416855400,21
1021286369375704400,25
1050400775362642400,23
1074928613153881500,30
1075879496041854500,12
1075879496041854500,24
1075879496041854500,6
1110443490258369300,21
1110443490258369300,22
1110443490258369300,23
1110443490258369300,3
1150745947682918100,21
1190021699469020400,4
1201459502562348800,23
1201459502562348800,6
1204451111739815e3,15
1204451111739815e3,6
1226977288165913300,24
1301642772078627300,24
1301642772078627300,6
1307544809438044400,12
1307544809438044400,19
1307544809438044400,21
1307544809438044400,23
1307544809438044400,6
1323515628732963e3,19
1323515628732963e3,30
1333222425788711700,12
1333222425788711700,2
1333222425788711700,26
1333222425788711700,5
1333222425788711700,6
1376072661221705500,6
1421434345647005400,21
1421434345647005400,23
1421434345647005400,24
1421434345647005400,6
1465071415532236500,6
1502406821994751e3,11
1502406821994751e3,12
1502406821994751e3,6
1511252700832990700,24
1511252700832990700,6
1543631498298606300,24
1543631498298606300,6
1549226809595793700,8
1570004829886956500,11
1570004829886956500,24
1588978324187810600,6
1614425382840886e3,26
1614863562832387800,6
1616354781073966e3,6
1617555623202013200,11
1617555623202013200,24
1617602603357132500,15
1617602603357132500,6
1633995948243669500,6
1701135331253012200,21
1715798322244018200,21
1715798322244018200,6
1782072966437465e3,21
1782072966437465e3,26
1782072966437465e3,6
1796778450343398e3,11
1796778450343398e3,22
1796778450343398e3,23
1812848607407385e3,11
1812848607407385e3,12
1812848607407385e3,21
1812848607407385e3,24
1812848607407385e3,6
1830365493681069e3,2
1830365493681069e3,23
1875238971259665700,26
1909931222219325700,3
1927986903336981800,23
1927986903336981800,6
1927986903336981800,8
1976796404008395300,21
1976796404008395300,22
1988865422122995500,21
1993361318765687e3,19
2028635316782365700,12
2028635316782365700,26
2028635316782365700,6
2028635316782365700,8
2047455672320389600,24
2047455672320389600,26
2047455672320389600,6
2052779275828355600,22
2052779275828355600,8
2053835820869243400,24
2073373064812251600,24
2089981334097498e3,19
2129187107677867500,11
2129187107677867500,24
2129187107677867500,6
2151730120133276e3,21
2208368030910592300,11
2208368030910592300,19
2208368030910592300,5
2208368030910592300,6
2218121424849386e3,6
2224800232170126e3,19
2224800232170126e3,24
2224800232170126e3,26
2224800232170126e3,6
2244860243997450500,26
2244860243997450500,6
2244860243997450500,8
2248675680238980600,1
2248675680238980600,23
2248675680238980600,8
2280193968430214100,11
2319185264202481700,21
2319185264202481700,6
2341035507905595e3,12
2341035507905595e3,19
2341035507905595e3,6
2392603828748993500,6
2415238445145904e3,8
2.4180978036020797e+018,11
2.4180978036020797e+018,12
2.4180978036020797e+018,15
2.4180978036020797e+018,24
2.4180978036020797e+018,6
2425444334817744e3,23
2436479965522535400,21
2437154243003175e3,21
2437154243003175e3,26
2439455034259584500,26
2439455034259584500,5
2439455034259584500,6
2446582188412006e3,1
2446582188412006e3,21
2481152489816717300,26
2481152489816717300,8
2530700187078890500,1
2530700187078890500,26
2540258453199634400,21
2540258453199634400,6
2566234322001264e3,11
2566234322001264e3,6
2617463841934012400,24
2630818132272196e3,29
2645730730107124e3,8
2645753624255778e3,26
2645753624255778e3,4
2645753624255778e3,6
2658207740063425e3,21
2661303049323547600,11
266487809577687e4,12
266487809577687e4,9
2693526629884485e3,26
2693930374480076300,6
2716073507683956700,21
2716073507683956700,30
2746312070592788500,16
2746312070592788500,23
2772498498412056e3,12
2772498498412056e3,26
2772498498412056e3,3
2772498498412056e3,5
2774509754918441500,26
2774509754918441500,6
2782976770699575e3,22
2782976770699575e3,26
2782976770699575e3,3
2788566502834700300,22
2799953209314253300,6
2807909795938915300,4
2811266885652951600,23
2849319487766252e3,16
2858694498006908e3,11
2858694498006908e3,23
2858694498006908e3,24
2858694498006908e3,6
2883752717395670500,17
2883752717395670500,26
2901652346231380500,11
2901652346231380500,12
2901652346231380500,23
2901652346231380500,3
2901652346231380500,6
2901652346231380500,8
2938377161880545300,9
2952537794868993e3,26
2952537794868993e3,6
2952537794868993e3,8
2990921892026935300,26
2990921892026935300,4
2991809753783809e3,12
2991809753783809e3,19
2991809753783809e3,6
3010520598037628e3,19
3036285601273102300,21
3064022965530012700,21
3064022965530012700,29
3066651140436829e3,16
3066651140436829e3,19
3066651140436829e3,8
3069810519949379e3,1
3069810519949379e3,23
3069810519949379e3,24
3094436557539689e3,12
3094436557539689e3,5
3115144723175448600,21
3115144723175448600,30
3146911369494091e3,11
3146911369494091e3,24
3146911369494091e3,6
3146911369494091e3,8
3190592251464434700,6
321665445235811e4,11
321665445235811e4,21
3239545034840527e3,12
3239545034840527e3,17
3239545034840527e3,26
3239545034840527e3,8
3246778963736473e3,12
3246778963736473e3,16
3246778963736473e3,23
3292315603162941400,27
3297740443685809e3,21
3297740443685809e3,23
3298413219558710300,23
3298413219558710300,5
3298413219558710300,6
3346053413088334e3,15
3346053413088334e3,6
3346053413088334e3,8
3358274679535481e3,21
3413669117229317e3,23
3419630216632425500,11
3421732604183110700,21
3421732604183110700,6
3421732604183110700,8
3429319852664537600,21
3432943263578198e3,23
3448021354656885e3,15
3448021354656885e3,24
3500418451543533600,6
3500418451543533600,8
3575627242141158e3,26
3575627242141158e3,6
3581630705297017e3,21
3581630705297017e3,6
3600751760153327600,11
3600751760153327600,12
3600751760153327600,19
3600751760153327600,21
3600751760153327600,29
3600751760153327600,3
3600751760153327600,30
3600751760153327600,6
3600751760153327600,8
3627615967297717e3,22
3662869186100142e3,2
3662869186100142e3,25
3663058295632737300,21
3663058295632737300,23
3663058295632737300,26
3668223824522422e3,26
369030610092873e4,23
369030610092873e4,24
369159703481029e4,8
3802842669140547e3,4
3882315735753209e3,21
3925172042357467e3,21
3936568754226657e3,23
3950182813358641e3,6
3953926380055931400,21
3953926380055931400,23
3958541830221768e3,12
3958541830221768e3,21
3958541830221768e3,24
396186257077972e4,12
396186257077972e4,6
4041093050657842e3,26
4041093050657842e3,6
4041093050657842e3,8
4071209025463788500,2
4071209025463788500,23
4083022180252749300,6
4131995039523416e3,21
4147283271984732700,6
4159597097869921300,21
4159597097869921300,26
4159597097869921300,6
4159597097869921300,8
4184637869028996e3,12
4184637869028996e3,21
4184637869028996e3,6
4184637869028996e3,8
4191349017612402700,26
4212786916554793e3,12
4278818433572188e3,21
4278818433572188e3,23
4282801845833658400,21
4282801845833658400,30
4284961223112722400,22
4346052736661493e3,26
4346052736661493e3,3
4351129839725127700,25
4380793288949218e3,26
4396859708849647600,8
445281913808282e4,12
445281913808282e4,6
4493214829073929700,21
4509048890778068e3,6
4515547425628099e3,6
4544795820445753300,12
4561075587674811400,21
4569204729484557300,21
4569204729484557300,8
4576335018106171400,12
4576335018106171400,21
4576335018106171400,29
4576335018106171400,6
4581711276113694e3,21
4581711276113694e3,26
4594633073452879e3,12
4594633073452879e3,16
4594633073452879e3,26
4594633073452879e3,6
4639744424675641e3,4
4652786751642454e3,11
4652786751642454e3,12
4652786751642454e3,2
4652786751642454e3,24
4652786751642454e3,4
4652786751642454e3,6
4707340726775955e3,12
4707340726775955e3,6
4801545272550724e3,11
4801545272550724e3,21
4801545272550724e3,23
4801545272550724e3,8
4802622573024306e3,21
4802622573024306e3,30
4813240151423605e3,24
4883072868047378e3,15
4899266168369878e3,19
4899266168369878e3,23
4899266168369878e3,24
4899266168369878e3,6
4914598869880699e3,26
4918007551557747e3,26
4971191942430216e3,26
4971191942430216e3,6
4971191942430216e3,8
5025828713509546e3,21
502930942967572e4,6
510288646448332e4,15
5177943622624125e3,26
5180084205948147e3,6
5188615458030591e3,12
5188615458030591e3,6
5195942236299637e3,12
5195942236299637e3,6
5195942236299637e3,8
5198059323995165e3,6
5220826676956366e3,3
5250357385206665e3,5
5278840734005659e3,23
5284369421389997e3,6
5304946126734046e3,12
5305900461773816e3,23
5329171699144947e3,26
5349312807889493e3,27
5493919454596385e3,11
5493919454596385e3,12
5493919454596385e3,21
5493919454596385e3,22
5493919454596385e3,6
5493919454596385e3,8
5510859541300018e3,6
5510859541300018e3,8
5532419398051873e3,6
5576883920837245e3,21
5576883920837245e3,22
5576883920837245e3,6
5576883920837245e3,8
5605579247000729e3,23
5625815911934637e3,6
5699380037268327e3,19
5722772033988647e3,11
5722772033988647e3,19
5722772033988647e3,21
5722772033988647e3,23
5722772033988647e3,24
5722772033988647e3,26
5722772033988647e3,6
5722772033988647e3,8
572325307617682e4,23
572325307617682e4,24
5745328815440586e3,6
5788571357639205e3,23
5788571357639205e3,6
5826968472749102e3,6
5845615680463194e3,12
5845615680463194e3,23
5869825519775986e3,21
5894863832199268e3,21
5924479613987088e3,26
5924479613987088e3,30
5970232387422024e3,24
5984547012276564e3,26
6007561697321726e3,21
6138917341627935e3,11
6138917341627935e3,21
6154426639660638e3,2
6154426639660638e3,21
6156102901408289e3,12
6156102901408289e3,21
6156102901408289e3,23
6156102901408289e3,24
6156102901408289e3,5
6156102901408289e3,6
6170135353871611e3,11
6170135353871611e3,24
6170135353871611e3,30
6225004564511807e3,11
6225004564511807e3,21
6225004564511807e3,23
6225004564511807e3,24
6226017923567409e3,6
6261656203272177e3,21
6292877576424378e3,23
6292877576424378e3,24
6298852493391248e3,12
6298852493391248e3,19
6298852493391248e3,5
6298852493391248e3,6
6298852493391248e3,8
6300271329276407e3,11
6300271329276407e3,21
6300271329276407e3,23
6300271329276407e3,24
6300271329276407e3,6
6300271329276407e3,8
6358085902264206e3,25
635883833431336e4,19
635883833431336e4,6
635883833431336e4,8
6370080553954378e3,19
6387343954764258e3,21
6438091902629129e3,9
644021421351126e4,19
644021421351126e4,21
6462990620087357e3,11
6462990620087357e3,24
6462990620087357e3,6
6475172470704246e3,11
6475172470704246e3,24
6475172470704246e3,26
6475172470704246e3,6
6481171898698403e3,12
6481171898698403e3,23
6481171898698403e3,6
6508449788479534e3,6
6522841349610931e3,25
6553587175065627e3,12
6603539057382857e3,19
