merge_id,cuisine_id
36738828539415904,G4g0t
48886005075002736,B6u5n
151315871423119200,H8r1n
165475426655500500,I1w3k
165475426655500500,C2g2b
165475426655500500,T4k2u
165475426655500500,O6g5j
190535589291764930,K4r5e
206809001688930560,O3l0h
223214590542580030,G4g0t
267538369935421630,S6f6r
324956671056273800,B6u5n
328947052064006300,G4g0t
377171090460949760,B6u5n
476916960402019840,B7t7d
489859589346398900,G4g0t
504306864142723700,I1w3k
504306864142723700,O1g2m
558541714439052540,B7t7d
569117214955874e3,D9w1q
608490730760836400,L9g7u
657437461245799700,X9k8b
717974709877983900,D9w1q
746320862067593300,D9w1q
764646227740239600,O3l0h
790582098308430600,D9w1q
809462122392499700,X0l8a
864450236635665700,G4g0t
864450236635665700,O3l0h
868843285783124e3,O3l0h
883805560569739800,L9g7u
883805560569739800,Y7v6a
924348642480443400,D9w1q
925638335863885400,G4g0t
977161461962718100,Y3a1u
994507847416855400,I1w3k
994507847416855400,C2g2b
994507847416855400,M9p7m
994507847416855400,O1g2m
1021286369375704400,B7t7d
1050400775362642400,X9k8b
1075879496041854500,B7t7d
1075879496041854500,D9w1q
1116150921025838100,Y3a1u
1116150921025838100,B7t7d
1179742298729211100,X9k8b
1201459502562348800,B7t7d
1201459502562348800,O3l0h
1307544809438044400,K4r5e
1317450646482210800,B7t7d
1323515628732963e3,I1w3k
1323515628732963e3,C2g2b
1323515628732963e3,K4r5e
1333222425788711700,B7t7d
1333222425788711700,O3l0h
1370327468637238800,O3l0h
1370327468637238800,D9w1q
1421434345647005400,X0l8a
1465071415532236500,Y7v6a
1465071415532236500,Z7q6t
1511252700832990700,K7n2i
1529586775828569e3,O3l0h
1543631498298606300,C2g2b
1543631498298606300,B7t7d
1543631498298606300,O3l0h
1543631498298606300,D9w1q
1554042968324676900,D9w1q
1570004829886956500,I1w3k
1570004829886956500,C2g2b
1570004829886956500,O6g5j
1599536464812241400,O3l0h
1614425382840886e3,H8r1n
1614425382840886e3,U5n4c
1614425382840886e3,D9w1q
1617602603357132500,G4g0t
1701135331253012200,B6u5n
1782072966437465e3,H8r1n
1782072966437465e3,B6u5n
1796778450343398e3,G4g0t
1812848607407385e3,G4g0t
1874127608504368400,G4g0t
1907255997668684500,G4g0t
1909931222219325700,G4g0t
1927986903336981800,U5n4c
1927986903336981800,O4i3b
1931811592889196800,B7t7d
1993361318765687e3,K4r5e
2028635316782365700,H8r1n
2028635316782365700,X6b6q
2028635316782365700,Y7v6a
2028635316782365700,S6f6r
2030395588196878e3,X9k8b
2047455672320389600,X0l8a
2047455672320389600,B6u5n
2047988063362488300,C2g2b
2047988063362488300,S6f6r
2052779275828355600,G4g0t
2053835820869243400,G4g0t
2073373064812251600,L9g7u
2089981334097498e3,K4r5e
2128543859900308700,G4g0t
2129016454743681500,G4g0t
2129187107677867500,B7t7d
2163290324271504600,I1w3k
2163290324271504600,Y7v6a
2208368030910592300,K4r5e
2224800232170126e3,K4r5e
2244860243997450500,H8r1n
2244860243997450500,S6f6r
2248675680238980600,G4g0t
2280193968430214100,O3l0h
2280193968430214100,D9w1q
2341035507905595e3,K4r5e
2367154544871609e3,O3l0h
2422062780927599600,B7t7d
2425444334817744e3,X9k8b
2436479965522535400,G4g0t
2436479965522535400,O3l0h
2437154243003175e3,I1w3k
2437154243003175e3,O1g2m
2439455034259584500,H8r1n
2439455034259584500,G4g0t
2446582188412006e3,D9w1q
2481152489816717300,H8r1n
2530700187078890500,D9w1q
2540258453199634400,B6u5n
2566234322001264e3,I1w3k
2566234322001264e3,B7t7d
2566234322001264e3,O3l0h
2566234322001264e3,O1g2m
2608489898326732e3,D9w1q
2630818132272196e3,B7t7d
2630818132272196e3,D9w1q
2645730730107124e3,H8r1n
2645753624255778e3,O3l0h
2645753624255778e3,D9w1q
2746312070592788500,G4g0t
2772498498412056e3,S6f6r
2774509754918441500,H8r1n
2774509754918441500,X6b6q
2774509754918441500,U5n4c
2774509754918441500,S6f6r
2774509754918441500,O3l0h
2788566502834700300,Y3a1u
2807909795938915300,O3l0h
2811266885652951600,X0l8a
2842684437281172e3,Y7v6a
2842684437281172e3,Z7q6t
2850299327949142e3,I1w3k
2858694498006908e3,G4g0t
2858694498006908e3,O3l0h
2859631393060154400,S6f6r
2883752717395670500,H8r1n
2883752717395670500,U5n4c
2884162729873421e3,O3l0h
2884162729873421e3,D9w1q
2901652346231380500,B7t7d
2901652346231380500,S6f6r
2930997900841579e3,O3l0h
2930997900841579e3,D9w1q
2952537794868993e3,I1w3k
2952537794868993e3,H8r1n
2952537794868993e3,X6b6q
2952537794868993e3,S6f6r
2985753930901860400,Y3a1u
2990921892026935300,O3l0h
2991809753783809e3,S6f6r
2991809753783809e3,K4r5e
2991809753783809e3,O3l0h
3010520598037628e3,K4r5e
3044204135150745600,G4g0t
3064022965530012700,S6f6r
3064022965530012700,B6u5n
3066651140436829e3,U5n4c
3066651140436829e3,G4g0t
3066651140436829e3,K4r5e
3069810519949379e3,O3l0h
3071802284667958e3,I1w3k
3071802284667958e3,Y7v6a
3071802284667958e3,Z7q6t
3071802284667958e3,O1g2m
3115144723175448600,X0l8a
3115144723175448600,B6u5n
3122114799087517700,G4g0t
3146911369494091e3,D9w1q
3156567826334997500,G4g0t
3190592251464434700,G4g0t
3191069670075261400,H8r1n
3191069670075261400,U5n4c
3239545034840527e3,H8r1n
3258279441957708300,B7t7d
3292315603162941400,O3l0h
3292315603162941400,D9w1q
3297740443685809e3,X9k8b
3312425911798277600,D9w1q
3346053413088334e3,B7t7d
3346053413088334e3,O3l0h
3346053413088334e3,D9w1q
3358274679535481e3,I1w3k
3358274679535481e3,B7t7d
3358274679535481e3,G4g0t
3358274679535481e3,S6f6r
3358274679535481e3,R3v4z
3358274679535481e3,M9p7m
3419630216632425500,O3l0h
3419630216632425500,D9w1q
3421732604183110700,X9k8b
3421732604183110700,B6u5n
3432943263578198e3,G4g0t
3448021354656885e3,O3l0h
3448021354656885e3,D9w1q
3471700584666801e3,G4g0t
3500418451543533600,Y3a1u
3511575509942105600,G4g0t
3511575509942105600,O3l0h
3526377621771529700,Y7v6a
3526377621771529700,Z7q6t
3580278635308849e3,H8r1n
3600751760153327600,X6b6q
3600751760153327600,K4r5e
3600751760153327600,W4r9j
3600751760153327600,O1g2m
3600751760153327600,B6u5n
3668223824522422e3,D9w1q
3807559835660814300,Y7v6a
3812450285082243e3,O3l0h
3812450285082243e3,D9w1q
3826110736487914500,I1w3k
3826110736487914500,O3l0h
3826110736487914500,D9w1q
3874574996436062700,G4g0t
390051201060813e4,L9g7u
3911081479961289700,O3l0h
3911081479961289700,D9w1q
3925172042357467e3,B6u5n
4024081624452805e3,G4g0t
4041093050657842e3,B7t7d
4071209025463788500,D9w1q
4131995039523416e3,O4i3b
4147283271984732700,G4g0t
4159597097869921300,X6b6q
4159597097869921300,Y7v6a
4159597097869921300,O1g2m
4212786916554793e3,D9w1q
4212786916554793e3,Y4m4f
4226373426860823600,I1w3k
4226373426860823600,Y7v6a
4226373426860823600,O3l0h
4278818433572188e3,I1w3k
4278818433572188e3,B7t7d
4278818433572188e3,S6f6r
4282801845833658400,G4g0t
4351129839725127700,X0l8a
4380793288949218e3,U5n4c
4380793288949218e3,O3l0h
4421849723265939500,G4g0t
445281913808282e4,G4g0t
4493214829073929700,G4g0t
4493214829073929700,B6u5n
4544795820445753300,Y7v6a
4544795820445753300,Z7q6t
4561075587674811400,B6u5n
4567479107188079600,O3l0h
4567479107188079600,D9w1q
4569204729484557300,B6u5n
4576335018106171400,B6u5n
4581711276113694e3,B6u5n
4639744424675641e3,O3l0h
4649727708288897e3,D9w1q
4652786751642454e3,O3l0h
4652786751642454e3,D9w1q
467794131503417e4,I1w3k
467794131503417e4,C2g2b
469422375181143e4,C2g2b
4707340726775955e3,G4g0t
4749098111558958e3,G4g0t
4790211110189158e3,G4g0t
4801545272550724e3,H8r1n
4802622573024306e3,B6u5n
4813240151423605e3,O3l0h
4816746454029641e3,Y4m4f
4883072868047378e3,Y4m4f
4899266168369878e3,G4g0t
4899266168369878e3,K4r5e
5000847439427201e3,O3l0h
5025828713509546e3,Y7v6a
502930942967572e4,G4g0t
5056474175393947e3,G4g0t
5093172594918512e3,H8r1n
5093172594918512e3,O3l0h
5138772789683755e3,O3l0h
5180084205948147e3,X9k8b
5195942236299637e3,Y7v6a
5195942236299637e3,Z7q6t
5220826676956366e3,H8r1n
5250357385206665e3,S6f6r
5250357385206665e3,D9w1q
5282408362475563e3,G4g0t
5304946126734046e3,G4g0t
5304946126734046e3,O3l0h
5329171699144947e3,D9w1q
5349312807889493e3,G4g0t
5493919454596385e3,B6u5n
5534814460662135e3,D9w1q
5576883920837245e3,B6u5n
5605579247000729e3,L9g7u
5625815911934637e3,G4g0t
5679476552482189e3,Y7v6a
5682474018887778e3,Q8c2b
5682474018887778e3,O3l0h
5682474018887778e3,D9w1q
5699380037268327e3,K4r5e
5722772033988647e3,G4g0t
5722772033988647e3,X9k8b
5722772033988647e3,K4r5e
5722772033988647e3,O3l0h
5722772033988647e3,D9w1q
5722772033988647e3,Z7q6t
5722772033988647e3,B6u5n
572325307617682e4,X9k8b
5745328815440586e3,O3l0h
5855306067276526e3,Y4m4f
5906289962813422e3,O3l0h
5970232387422024e3,O3l0h
5984547012276564e3,X6b6q
5984547012276564e3,O1g2m
6007561697321726e3,B6u5n
6076319159468963e3,I1w3k
6076319159468963e3,O1g2m
6138917341627935e3,O1g2m
6154426639660638e3,B6u5n
6170135353871611e3,G4g0t
6225004564511807e3,B6u5n
623665156431574e4,D9w1q
6251854167540924e3,O3l0h
625947603705092e4,O3l0h
625947603705092e4,D9w1q
6261656203272177e3,H8r1n
6276746229819936e3,G4g0t
6292877576424378e3,O3l0h
6298852493391248e3,X6b6q
6298852493391248e3,K4r5e
6300271329276407e3,H8r1n
6300271329276407e3,B7t7d
6300271329276407e3,O1g2m
6300271329276407e3,B6u5n
6358085902264206e3,G4g0t
635883833431336e4,K4r5e
6370080553954378e3,I1w3k
6370080553954378e3,K4r5e
6370080553954378e3,O1g2m
6384868457510177e3,G4g0t
6384868457510177e3,D9w1q
6393507037301714e3,G4g0t
6438091902629129e3,G4g0t
644021421351126e4,B7t7d
644021421351126e4,K4r5e
644021421351126e4,B6u5n
6462990620087357e3,O3l0h
6462990620087357e3,D9w1q
6475172470704246e3,G4g0t
6481171898698403e3,O1g2m
6484137398036339e3,O3l0h
6484137398036339e3,D9w1q
6505062348509456e3,X9k8b
6505062348509456e3,D9w1q
6522841349610931e3,G4g0t
6534103589611418e3,O3l0h
6545384898748205e3,X9k8b
6552379492064983e3,G4g0t
6603539057382857e3,H8r1n
6603539057382857e3,K4r5e
6610180445533936e3,D9w1q
6720043990569779e3,O3l0h
6767548344098302e3,B7t7d
6818570841896133e3,B7t7d
6818570841896133e3,O3l0h
6826227859461409e3,Y7v6a
6826227859461409e3,Z7q6t
6940617323993418e3,L9g7u
6940617323993418e3,G4g0t
6942292919366324e3,G4g0t
6958433423450862e3,X6b6q
6958433423450862e3,S6f6r
6969894299289012e3,D9w1q
6985696292600227e3,G4g0t
7084488651997203e3,G4g0t
7100660384102958e3,I1w3k
