merge_id,biz_name
36738828539415904,Cecconi S
48886005075002736,Gigi Von Tapas
56272019056540320,L'Amfora Barcelona
1.4539148923124438e+017,BocaBoca Street Food
190535589291764930,ElDiset
205151259143415680,Xaloc
206809001688930560,La Cuina De Laietana
223214590542580030,Stuzzichini
251004691745355900,Vivo Tapas
253949492748726600,Sant Marti
267538369935421630,Teoric Taverna Gastronomica
273906282406624130,Foc I Oli Aribau
324956671056273800,Flax &amp
336462219155110600,Pla
3.4510469770954963e+017,Granja Primavera
377171090460949760,Goiko
402606966941997060,Absenta
439850603726543800,Petritxol Cafe
476916960402019840,MAISON CARNE
488621394879506600,Kiltro Restobar
489755753033788350,Les Finestres De Lluria
504306864142723700,Momos Tapes Amb Palillos
558541714439052540,Pasteleria Hofmann
569117214955874e3,Biercab
608490730760836400,El Foro
615495451066500100,Can Sole
623630851683660700,Meson Jesus
657437461245799700,ANDELE Carrer De Paris
686315430251262e3,Pepito
697040578678019100,Olivos Comida Y Vinos
717974709877983900,Restaurant La Tasqueta de Blai
728137613149311900,Colmado Gastronomic Tapes Vermuts I Vins Enric Granados
746320862067593300,Can Xurrades Gastronomic
752710541165137300,La Foga
764646227740239600,Vinitus Madrid
809462122392499700,Swad The Indian
821800350088074900,La Platilleria
864450236635665700,Acqua & Farina
867418210620730200,Agua
868843285783124e3,RESTAURANT A ROGUEIRA
883805560569739800,Carlota Akaneya
924348642480443400,La Esquinita De Blai
925638335863885400,Bocca Di Bonifacio
934955199864545e3,Antigua
939792937791708200,EdeNova
994507847416855400,Wok To Walk
1021286369375704400,Oma Bistro
1075879496041854500,Catedra
1110443490258369300,Senor Pina Secret Garden
1116150921025838100,Alsur Café
1179742298729211100,Oaxaca Cuina Mexicana
1190021699469020400,Todo Pasa
1201459502562348800,Grill Room Thonet
1204451111739815e3,Canete
1226977288165913300,Saffron
1264504237910218200,RESTAURANT El Tropezon
1301642772078627300,La Cratera
1307544809438044400,Green S
1333222425788711700,Pelai
1370327468637238800,La Paradeta Sants
